frame,torso,joint_right_shoulder_pitch,joint_right_shoulder_roll,joint_right_arm_yaw,joint_right_elbow_pitch,joint_right_forearm_yaw,joint_right_wrist_pitch,joint_right_wrist_roll,hand_right_pinky,hand_right_ring,hand_right_middle,hand_right_index,hand_right_thumb,joint_left_shoulder_pitch,joint_left_shoulder_roll,joint_left_arm_yaw,joint_left_elbow_pitch,joint_left_forearm_yaw,joint_left_wrist_pitch,joint_left_wrist_roll,hand_left_pinky,hand_left_middle,hand_left_ring,hand_left_thumb,hand_left_index,joint_head_yaw,joint_head_pitch
54,0.0,0.0,-0.0,12.0,12.59,65.8,0.0,-0.03,40.72,43.68,45.0,45.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
55,0.0,0.0,-0.0,12.0,12.59,65.8,0.0,-0.03,41.67,44.24,45.0,45.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
56,0.0,0.0,-0.0,12.0,12.59,65.8,0.0,-0.03,42.51,44.66,45.0,45.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
57,0.0,0.0,-0.0,12.0,12.59,65.8,0.0,-0.03,43.24,44.91,45.0,45.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
58,0.0,0.0,-0.0,12.0,12.59,65.8,0.0,-0.03,43.85,45.0,45.0,45.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
59,0.0,0.0,-0.0,12.0,12.59,65.8,0.0,-0.03,44.34,45.0,45.0,45.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
60,0.0,0.0,-0.0,12.0,12.59,65.8,0.0,-0.03,44.7,45.0,45.0,45.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
61,0.0,0.0,-0.0,12.0,12.59,65.8,0.0,-0.03,44.92,45.0,45.0,45.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
62,0.0,0.0,-0.0,12.0,12.59,65.8,0.0,-0.03,45.0,45.0,45.0,45.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
63,0.0,0.0,-0.0,12.0,12.59,65.8,0.0,-0.03,45.0,45.0,45.0,44.75,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
64,0.0,0.0,-0.0,12.0,12.59,65.8,0.0,-0.03,45.0,45.0,45.0,44.04,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
65,0.0,0.0,-0.0,12.0,12.59,65.8,0.0,-0.03,45.0,45.0,45.0,42.9,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
66,0.0,0.0,-0.0,12.0,12.59,65.8,0.0,-0.03,45.0,45.0,45.0,41.39,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
67,0.0,0.0,-0.0,12.0,12.59,65.8,0.0,-0.03,45.0,45.0,44.75,39.54,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
68,0.0,0.0,-0.0,12.0,12.59,65.8,0.0,-0.03,45.0,45.0,44.04,37.41,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
69,0.0,0.0,-0.0,12.0,12.59,65.8,0.0,-0.03,45.0,45.0,42.9,35.03,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
70,0.0,0.0,-0.0,12.0,12.59,65.8,0.0,-0.03,45.0,45.0,41.39,32.45,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
71,0.0,0.0,-0.0,12.0,12.59,65.8,0.0,-0.03,45.0,44.75,39.54,29.72,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
72,0.0,0.0,-0.0,12.0,12.59,65.8,0.0,-0.03,45.0,44.04,37.41,26.88,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
73,0.0,0.0,-0.0,12.0,12.59,65.8,0.0,-0.03,45.0,42.9,35.03,23.97,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
74,0.0,0.0,-0.0,12.0,12.59,65.8,0.0,-0.03,45.0,41.39,32.45,21.03,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
75,0.0,0.0,-0.0,12.0,12.59,65.8,0.0,-0.03,44.75,39.54,29.72,18.12,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
76,0.0,0.0,-0.0,12.0,12.59,65.8,0.0,-0.03,44.04,37.41,26.88,15.28,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
77,0.0,0.0,-0.0,12.0,12.59,65.8,0.0,-0.03,42.9,35.03,23.97,12.55,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
78,0.0,0.0,-0.0,12.0,12.59,65.8,0.0,-0.03,41.39,32.45,21.03,9.97,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
79,0.0,0.0,-0.0,12.0,12.59,65.8,0.0,-0.03,39.54,29.72,18.12,7.59,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
80,0.0,0.0,-0.0,12.0,12.59,65.8,0.0,-0.03,37.41,26.88,15.28,5.46,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
81,0.0,0.0,-0.0,11.95,12.53,65.8,-0.0,-0.03,35.03,23.97,12.55,3.61,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
82,0.0,0.0,-0.0,11.79,12.36,65.8,0.0,-0.03,32.45,21.03,9.97,2.1,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
83,0.0,0.0,-0.0,11.53,12.09,65.8,-0.0,-0.03,29.72,18.12,7.59,0.96,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
84,0.0,0.0,-0.0,11.18,11.73,65.8,-0.0,-0.03,26.88,15.28,5.46,0.25,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
85,0.0,0.0,-0.0,10.76,11.28,65.8,0.0,-0.03,23.97,12.55,3.61,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
86,0.0,0.0,-0.0,10.26,10.77,65.64,-0.0,-0.03,21.03,9.97,2.1,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.07,-24.68
87,0.0,0.0,-0.0,9.71,10.18,65.18,-0.0,-0.03,18.12,7.59,0.96,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-16.95,-24.51
88,0.0,0.0,-0.0,9.1,9.55,64.43,0.0,-0.03,15.28,5.46,0.25,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-16.76,-24.22
89,0.0,0.0,-0.0,8.46,8.87,63.42,-0.0,-0.03,12.55,3.61,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-16.5,-23.84
90,0.0,0.0,-0.0,7.78,8.16,62.16,0.0,-0.03,9.97,2.1,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-16.17,-23.37
91,0.0,0.0,-0.0,7.08,7.42,60.66,-0.0,-0.03,7.59,0.96,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-15.78,-22.81
92,0.0,0.0,-0.0,6.36,6.67,58.96,-0.0,-0.03,5.46,0.25,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-15.34,-22.17
93,0.0,0.0,-0.0,5.64,5.92,57.06,-0.0,-0.03,3.61,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-14.84,-21.45
94,0.0,0.0,-0.0,4.93,5.17,54.99,-0.0,-0.03,2.1,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-14.3,-20.67
95,0.0,0.0,-0.0,4.23,4.43,52.76,0.0,-0.03,0.96,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-13.72,-19.83
96,0.0,0.0,-0.0,3.55,3.72,50.39,-0.0,-0.03,0.25,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-13.11,-18.94
97,0.0,0.0,-0.0,2.9,3.04,47.9,-0.0,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-12.46,-18.01
98,0.0,0.0,-0.0,2.3,2.41,45.31,-0.0,-0.03,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-11.79,-17.04
99,0.0,0.0,-0.0,1.74,1.83,42.64,-0.0,-0.03,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-11.09,-16.03
100,0.0,0.0,-0.0,1.25,1.31,39.9,0.0,-0.03,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-10.38,-15.0
101,0.0,0.0,-0.0,0.82,0.86,37.12,0.0,-0.03,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-9.66,-13.96
102,0.0,0.0,-0.0,0.48,0.5,34.31,0.0,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.92,-12.9
103,0.0,0.0,-0.0,0.22,0.23,31.49,-0.0,-0.03,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.19,-11.84
104,0.0,0.0,-0.0,0.06,0.06,28.68,-0.0,-0.03,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-7.46,-10.78
105,0.0,0.0,-0.0,-0.0,0.0,25.9,0.0,-0.03,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-6.74,-9.74
106,0.0,0.0,-0.0,-0.0,0.0,23.16,-0.0,-0.03,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-6.02,-8.71
107,0.0,0.0,-0.0,-0.0,0.0,20.49,-0.0,-0.03,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-5.33,-7.7
