frame,torso,joint_right_shoulder_pitch,joint_right_shoulder_roll,joint_right_arm_yaw,joint_right_elbow_pitch,joint_right_forearm_yaw,joint_right_wrist_pitch,joint_right_wrist_roll,hand_right_pinky,hand_right_ring,hand_right_middle,hand_right_index,hand_right_thumb,joint_left_shoulder_pitch,joint_left_shoulder_roll,joint_left_arm_yaw,joint_left_elbow_pitch,joint_left_forearm_yaw,joint_left_wrist_pitch,joint_left_wrist_roll,hand_left_pinky,hand_left_middle,hand_left_ring,hand_left_thumb,hand_left_index,joint_head_yaw,joint_head_pitch
74,0.0,8.72,6.54,8.72,30.51,30.51,0.0,8.72,-0.0,-0.0,-0.0,-0.0,0.0,8.72,6.54,8.72,30.51,30.51,0.0,8.72,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
75,0.0,7.87,5.9,7.87,27.55,27.55,-0.0,7.87,0.0,0.0,0.0,0.0,-0.0,7.87,5.9,7.87,27.55,27.55,-0.0,7.87,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
76,0.0,7.04,5.28,7.04,24.64,24.64,-0.0,7.04,0.0,0.0,-0.0,-0.0,0.0,7.04,5.28,7.04,24.64,24.64,-0.0,7.04,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
77,0.0,6.23,4.67,6.23,21.8,21.8,-0.0,6.23,0.0,0.0,0.0,0.0,-0.0,6.23,4.67,6.23,21.8,21.8,0.0,6.23,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
78,0.0,5.44,4.08,5.44,19.04,19.04,-0.0,5.44,0.0,0.0,-0.0,-0.0,-0.0,5.44,4.08,5.44,19.04,19.04,0.0,5.44,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
79,0.0,4.68,3.51,4.68,16.4,16.4,-0.0,4.68,0.0,0.0,-0.0,-0.0,-0.0,4.68,3.51,4.68,16.4,16.4,-0.0,4.68,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
80,0.0,3.97,2.97,3.97,13.88,13.88,-0.0,3.97,0.0,0.0,0.0,0.0,-0.0,3.97,2.97,3.97,13.88,13.88,-0.0,3.97,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
81,0.0,3.29,2.47,3.29,11.51,11.51,-0.0,3.29,-0.0,-0.0,0.0,0.0,0.0,3.29,2.47,3.29,11.51,11.51,-0.0,3.29,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
82,0.0,2.66,1.99,2.66,9.3,9.3,0.0,2.66,0.0,0.0,0.0,0.0,0.0,2.66,1.99,2.66,9.3,9.3,0.0,2.66,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
83,0.0,2.08,1.56,2.08,7.28,7.28,0.0,2.08,-0.0,0.0,0.0,0.0,-0.0,2.08,1.56,2.08,7.28,7.28,-0.0,2.08,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
84,0.0,1.56,1.17,1.56,5.47,5.47,0.0,1.56,0.0,0.0,-0.0,-0.0,0.0,1.56,1.17,1.56,5.47,5.47,0.0,1.56,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0
85,0.0,1.11,0.83,1.11,3.88,3.88,-0.0,1.11,-0.0,-0.0,-0.0,-0.0,0.0,1.11,0.83,1.11,3.88,3.88,-0.0,1.11,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
86,0.0,0.72,0.54,0.72,2.53,2.53,-0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.72,0.54,0.72,2.53,2.53,0.0,0.72,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
87,0.0,0.42,0.31,0.42,1.45,1.45,0.0,0.42,0.0,0.0,0.0,0.0,-0.0,0.42,0.31,0.42,1.45,1.45,0.0,0.42,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
88,0.0,0.19,0.14,0.19,0.66,0.66,-0.0,0.19,-0.0,-0.0,-0.0,-0.0,0.0,0.19,0.14,0.19,0.66,0.66,-0.0,0.19,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0
89,0.0,0.05,0.04,0.05,0.17,0.17,0.0,0.05,-0.0,-0.0,-0.0,0.0,-0.0,0.05,0.04,0.05,0.17,0.17,0.0,0.05,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
90,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
